"Parameter","Estimate","Std. Error","95% CI Lower","95% CI Upper"
"mu",7.5454,0.1166,7.3169,7.7739
"sigma",1.5753,0.0731,1.4382,1.7253
"Q",-0.4805,0.1911,-0.855,-0.1061
