"Time (days)","S(t)","h(t)","f(t)","F(t)"
101,0.9901,0.000229,0.000227,0.0099
201,0.9605,0.000354,0.00034,0.0395
361,0.9035,0.000394,0.000356,0.0965
501,0.8554,0.000385,0.000329,0.1446
731,0.7856,0.000354,0.000278,0.2144
1001,0.7177,0.000317,0.000227,0.2823
1501,0.6212,0.000263,0.000164,0.3788
2001,0.55,0.000226,0.000124,0.45
2501,0.495,0.000198,9.8e-05,0.505
3001,0.4509,0.000176,7.9e-05,0.5491
